SPECIMEN;SERVPOL;SAISIE;masse_coca;masse_hero;masse_divers;Type;EMBALLAGE;masse_ech;masse_specimen;DESCRIPTION;PURETE;STUP;COUPAGE;CLASSE;1.4_dmt;acide.4-aminobenzoique;acide.abietique;acide.acetylsalicylique;acide.ascorbique;acide.citrique;acide.isopimarique;acide.palmitique;acide.salicylique;acide.stearique;acides.gras;benzocaine;bicarbonate.sodium;butylbromure.scopolamine;cafeine;chlorprothixene;creatine;creatinine;dextromethorphane;diazepam;diethylphtalate;diltiazem;escitalopram;fluoxetine;fructose;glucose;glutamine;glycerol;griseofulvine;hydroxyzine;ibuprofen;inositol;ketamine;lactose;levamisol;lidocaine;mannitol;melatonine;methandrostenolone;metoprolol;nicotinamide;paracetamol;phenacetine;phenobarbital;piracetam;procaine;sorbitol;sucres;sucrose;tetracaine;tramadol;vanilline
434_10.13_2_1;01;434_10.13;380.3;NA;NA;cocaine;cylindre;8.5;8.5;1er_cylindre_echantillonne_par_l'esc_parmi_les_11_cylindres_susmentionnes;61.2;cocaine;phenacetine lidocaine levamisol;C02001610000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
434_10.13_2_2;01;434_10.13;380.3;NA;NA;cocaine;cylindre;9.5;9.5;2eme_cylindre_echantillonne_par_l'esc_parmi_les_11_cylindres_susmentionnes;58.6;cocaine;phenacetine lidocaine levamisol;C02001610000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
434_10.13_2_3;01;434_10.13;380.3;NA;NA;cocaine;cylindre;8.5;8.5;3eme_cylindre_echantillonne_par_l'esc_parmi_les_11_cylindres_susmentionnes;60.2;cocaine;phenacetine lidocaine levamisol;C02001610000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
434_10.13_2_4;01;434_10.13;380.3;NA;NA;cocaine;boulette;0.5;0.5;1ere_boulette;28.2;cocaine;phenacetine lidocaine cafeine glucose mannitol levamisol inositol lactose;C02001724000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
434_10.13_2_5;01;434_10.13;380.3;NA;NA;cocaine;boulette;0.7;0.7;2eme_boulette;27.9;cocaine;phenacetine lidocaine cafeine glucose mannitol levamisol inositol lactose;C02001724000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
434_10.13_2_6;01;434_10.13;380.3;NA;NA;cocaine;boulette;0.4;0.4;3eme_boulette;32.3;cocaine;phenacetine glucose mannitol levamisol lactose;C02001725000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
434_10.13_3_1;01;434_10.13;380.3;NA;NA;cocaine;cylindre;9.2;9.2;1er_cylindre_echantillonne_par_l'esc_parmi_les_10_cylindres_susmentionnes;26.6;cocaine;phenacetine lidocaine cafeine glucose levamisol procaine lactose;C02001726000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
434_10.13_3_2;01;434_10.13;380.3;NA;NA;cocaine;cylindre;9.4;9.4;2eme_cylindre_echantillonne_par_l'esc_parmi_les_10_cylindres_susmentionnes;25.6;cocaine;phenacetine lidocaine cafeine glucose levamisol procaine lactose;C02001726000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
434_10.13_3_3;01;434_10.13;380.3;NA;NA;cocaine;cylindre;9.2;9.2;3eme_cylindre_echantillonne_par_l'esc_parmi_les_10_cylindres_susmentionnes;21.2;cocaine;phenacetine lidocaine cafeine glucose levamisol procaine lactose;C02001726000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
434_10.13_4_1;01;434_10.13;380.3;NA;NA;cocaine;cylindre;8.9;8.9;1er_cylindre_portant_l'inscription_.dri.;33.4;cocaine;phenacetine lidocaine glucose lactose;C02001564000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
